Data as of,Start Date,End Date,Sex,Age Years,Total_deaths,COVID_Deaths,Age,Death_rate
2/22/2021,1/1/2020,2/20/2021,Female,67 Years,26921,3316,67,12.31752164
2/22/2021,1/1/2020,2/20/2021,Female,68 Years,27908,3512,68,12.58420525
2/22/2021,1/1/2020,2/20/2021,Female,69 Years,29020,3729,69,12.84975879
2/22/2021,1/1/2020,2/20/2021,Female,70 Years,30628,3873,70,12.64529189
2/22/2021,1/1/2020,2/20/2021,Female,71 Years,33158,4242,71,12.79329272
2/22/2021,1/1/2020,2/20/2021,Female,72 Years,35862,4564,72,12.72656294
2/22/2021,1/1/2020,2/20/2021,Female,73 Years,39295,4911,73,12.49777325
2/22/2021,1/1/2020,2/20/2021,Female,74 Years,34656,4767,74,13.75519391
2/22/2021,1/1/2020,2/20/2021,Female,75 Years,35457,4643,75,13.09473447
2/22/2021,1/1/2020,2/20/2021,Female,76 Years,38527,5027,76,13.04799232
2/22/2021,1/1/2020,2/20/2021,Female,77 Years,42394,5661,77,13.35330471
2/22/2021,1/1/2020,2/20/2021,Female,78 Years,41732,5708,78,13.67775328
2/22/2021,1/1/2020,2/20/2021,Female,79 Years,41698,5510,79,13.21406302
2/22/2021,1/1/2020,2/20/2021,Female,80 Years,43138,5745,80,13.31772451
2/22/2021,1/1/2020,2/20/2021,Female,81 Years,44550,5876,81,13.18967452
2/22/2021,1/1/2020,2/20/2021,Female,82 Years,46787,6271,82,13.40329579
2/22/2021,1/1/2020,2/20/2021,Female,83 Years,47260,6243,83,13.20990267
2/22/2021,1/1/2020,2/20/2021,Female,84 Years,49281,6554,84,13.29924312
2/22/2021,1/1/2020,2/20/2021,Female,85 Years and over,677302,85946,85,12.68946497
